YEAR,B.C.,NIS,AIA,SIM,DUZ,ABU,ULU,UII,TAS,ARA,KIS,Y1,TEB,Y2,SHA,ADD,AII
1,464,4/13,5/13,6/11,7/11,8/10,9/9,,10/8,11/7,12/6,463,1/5,,2/3,3/4
2,463,4/3,5/2,6/1,6/30,7/30,8/29,,9/27,10/27,11/26,,12/25,462,1/24,2/22,3/24
3,462,4/22,5/21,6/20,7/19,8/18,9/16,,10/16,11/15,12/14,461,1/13,,2/12,3/12
4,461,4/11,5/10,6/8,7/8,8/6,9/5,,10/4,11/3,12/2,460,1/1,,1/31,3/1
5,460,3/31,4/30,5/29,6/27,7/27,8/25,,9/23,10/23,11/21,,12/21,459,1/20,2/19,3/20

6,459,4/19,5/18,6/17,7/16,8/15,9/13,,10/12,11/11,12/10,458,1/9,,2/8,3/9
7,458,4/8,5/8,6/6,7/6,8/4,9/3,,10/2,10/31,11/30,,12/29,457,1/28,2/27
8,457,3/27,4/26,5/25,6/24,7/24,8/22,,9/21,10/20,11/19,,12/18,456,1/17,2/15,3/16
9,456,4/15,5/14,6/13,7/13,8/11,9/10,,10/10,11/8,12/8,455,1/6,,2/5,3/6
10,455,4/4,5/4,6/2,7/2,7/31,8/30,,9/29,10/29,11/27,,12/27,454,1/25,2/24,3/25

11,454,4/23,5/22,6/21,7/20,8/19,9/18,,10/18,11/17,12/16,453,1/15,,2/13,3/14
12,453,4/12,5/11,6/9,7/9,8/7,9/6,,10/6,11/5,12/5,452,1/3,,2/2,3/3
13,452,4/2,5/1,5/30,6/28,7/28,8/26,,9/25,10/25,11/24,,12/23,451,1/22,2/20,3/22
14,451,4/20,5/20,6/18,7/17,8/16,9/15,,10/14,11/13,12/12,450,1/11,,2/9,3/11
15,450,4/10,5/9,6/8,7/7,8/6,9/4,,10/4,11/2,12/1,,12/31,449,1/29,2/28

16,449,3/29,4/27,5/27,6/26,7/25,8/24,,9/22,10/22,11/20,,12/19,448,1/18,2/16,3/18
17,448,4/16,5/16,6/15,7/15,8/13,9/12,,10/12,11/10,12/9,447,1/7,,2/6,3/7
18,447,4/6,5/5,6/4,7/4,8/2,9/1,,10/1,10/30,11/29,,12/28,446,1/26,2/25
19,446,3/26,4/25,5/24,6/23,7/22,8/21,,9/20,10/20,11/18,,12/18,445,1/16,2/14,3/15
20,445,4/13,5/12,6/11,7/11,8/9,9/8,,10/8,11/6,12/6,444,1/4,,2/3,3/4

21,444,4/3,5/2,6/1,6/30,7/30,8/28,,9/27,10/26,11/25,,12/25,443,1/23,2/22,3/23
22,443,4/22,5/21,6/20,7/19,8/17,9/16,,10/15,11/14,12/14,442,1/12,,2/11,3/13
23,442,4/11,5/11,6/9,7/9,8/7,9/5,,10/5,11/3,12/3,441,1/1,,1/31,3/1
24,441,3/31,4/29,5/29,6/27,7/27,8/25,,9/23,10/23,11/21,,12/21,440,1/19,2/18,3/19
25,440,4/18,5/18,6/17,7/16,8/15,9/13,,10/12,11/11,12/10,439,1/9,,2/7,3/9

26,439,4/7,5/7,6/6,7/5,8/4,9/2,,10/2,10/31,11/30,,12/29,438,1/28,2/26
27,438,3/28,4/26,5/26,6/24,7/24,8/23,,9/21,10/21,11/20,,12/19,437,1/18,2/16,3/16
28,437,4/14,5/14,6/12,7/12,8/11,9/9,,10/9,11/8,12/8,436,1/6,,2/5,3/6
29,436,4/4,5/3,6/2,7/1,7/31,8/29,,9/28,10/28,11/27,,12/27,435,1/25,2/24,3/25
30,435,4/23,5/22,6/21,7/20,8/19,9/17,,10/17,11/16,12/16,434,1/14,,2/13,3/14

31,434,4/13,5/12,6/10,7/10,8/8,9/7,,10/6,11/5,12/5,433,1/3,,2/2,3/3
32,433,4/1,5/1,5/30,6/28,7/28,8/26,,9/25,10/25,11/23,,12/23,432,1/21,2/20,3/21
33,432,4/20,5/19,6/18,7/17,8/16,9/15,,10/14,11/13,12/12,431,1/10,,2/9,3/10
34,431,4/9,5/9,6/7,7/7,8/6,9/4,,10/4,11/2,12/2,,12/31,430,1/29,2/28
35,430,3/29,4/28,5/27,6/26,7/26,8/25,,9/23,10/23,11/21,,12/20,429,1/19,2/17,3/17

36,429,4/16,5/15,6/14,7/14,8/13,9/12,,10/11,11/10,12/9,428,1/7,,2/6,3/7
37,428,4/5,5/5,6/3,7/3,8/2,9/1,,9/30,10/30,11/29,,12/28,427,1/26,2/25
38,427,3/26,4/24,5/24,6/22,7/22,8/21,,9/20,10/19,11/18,,12/17,426,1/16,2/14,3/16
39,426,4/14,5/13,6/12,7/11,8/10,9/8,,10/8,11/7,12/6,425,1/5,,2/4,3/4
40,425,4/3,5/2,6/1,6/30,7/29,8/28,,9/26,10/26,11/24,,12/24,424,1/23,2/21,3/23

41,424,4/22,5/21,6/20,7/19,8/17,9/16,,10/15,11/14,12/13,423,1/12,,2/10,3/12
