YEAR,B.C.,NIS,AIA,SIM,DUZ,ABU,ULU,UII,TAS,ARA,KIS,Y1,TEB,Y2,SHA,ADD,AII
1,485,4/6,5/5,6/4,7/4,8/2,9/1,,9/30,10/30,11/28,,12/27,484,1/26,2/24
2,484,3/26,4/25,5/24,6/23,7/23,8/21,9/20,10/19,11/17,12/17,483,1/15,,2/13,3/15
3,483,4/14,5/13,6/12,7/12,8/11,9/9,,10/9,11/7,12/6,482,1/5,,2/3,3/4
4,482,4/3,5/2,6/1,7/1,7/31,8/29,,9/28,10/28,11/26,,12/25,481,1/24,2/22,3/22
5,481,4/21,5/20,6/19,7/19,8/17,9/16,,10/16,11/14,12/14,480,1/12,,2/11,3/12

6,480,4/11,5/10,6/8,7/8,8/6,9/5,,10/5,11/3,12/3,479,1/2,,1/31,3/2
7,479,3/31,4/30,5/29,6/27,7/27,8/25,,9/24,10/23,11/22,,12/22,478,1/21,2/19,3/21
8,478,4/19,5/19,6/17,7/16,8/15,9/13,,10/12,11/11,12/11,477,1/10,,2/8,3/9
9,477,4/8,5/7,6/6,7/5,8/3,9/2,,10/1,10/30,11/29,,12/29,476,1/27,2/26
10,476,3/28,4/26,5/26,6/24,7/24,8/22,,9/21,10/20,11/19,,12/18,475,1/17,2/15,3/17

11,475,4/15,5/15,6/14,7/13,8/12,9/10,,10/10,11/8,12/8,474,1/6,,2/5,3/6
12,474,4/5,5/4,6/3,7/2,8/1,8/31,,9/29,10/29,11/28,,12/27,473,1/25,2/24,3/24
13,473,4/22,5/22,6/20,7/20,8/19,9/18,,10/17,11/16,12/16,472,1/14,,2/12,3/13
14,472,4/12,5/11,6/10,7/10,8/9,9/7,,10/7,11/5,12/5,471,1/4,,2/2,3/3
15,471,4/1,5/1,5/30,6/28,7/28,8/27,,9/26,10/26,11/24,,12/24,470,1/22,2/21,3/22

16,470,4/21,5/20,6/18,7/17,8/16,9/15,,10/15,11/13,12/13,469,1/12,,2/10,3/11
17,469,4/9,5/8,6/7,7/6,8/5,9/3,,10/3,11/1,12/1,,12/31,468,1/29,2/28
18,468,3/29,4/28,5/27,6/26,7/25,8/24,,9/22,10/22,11/20,,12/20,467,1/18,2/17,3/18
19,467,4/17,5/17,6/15,7/15,8/14,9/12,,10/12,11/10,12/9,466,1/7,,2/6,3/7
20,466,4/6,5/6,6/4,7/4,8/3,9/2,,10/1,10/31,11/29,,12/28,465,1/26,2/25

21,465,3/25,4/24,5/24,6/22,7/22,8/21,9/20,10/19,11/17,12/17,464,1/15,,2/13,3/15
