YEAR,B.C.,NIS,AIA,SIM,DUZ,ABU,ULU,UII,TAS,ARA,KIS,Y1,TEB,Y2,SHA,ADD,AII
1,423,4/11,5/11,6/9,7/9,8/7,9/5,,10/5,11/3,12/3,422,1/1,,1/31,3/1
2,422,3/31,4/30,5/29,6/28,7/28,8/26,,9/24,10/24,11/22,,12/22,421,1/20,2/19,3/19
3,421,4/18,5/17,6/16,7/16,8/14,9/13,,10/12,11/11,12/10,420,1/9,,2/7,3/9
4,420,4/7,5/6,6/5,7/5,8/3,9/2,,10/2,10/31,11/30,,12/29,419,1/28,2/26
5,419,3/27,4/26,5/25,6/24,7/23,8/22,,9/21,10/21,11/19,,12/19,418,1/17,2/16,3/17

6,418,4/15,5/15,6/13,7/12,8/11,9/10,,10/10,11/8,12/8,417,1/7,,2/5,3/6
7,417,4/4,5/3,6/2,7/1,7/30,8/29,,9/28,10/28,11/26,,12/26,416,1/25,2/23,3/25
8,416,4/23,5/22,6/21,7/20,8/18,9/17,,10/17,11/16,12/15,415,1/14,,2/12,3/14
9,415,4/13,5/12,6/10,7/10,8/8,9/7,,10/6,11/5,12/4,414,1/3,,2/1,3/3
10,414,4/2,5/1,5/31,6/29,7/29,8/27,,9/26,10/26,11/24,,12/23,413,1/22,2/20,3/21

11,413,4/19,5/19,6/18,7/17,8/16,9/15,,10/14,11/13,12/12,412,1/10,,2/8,3/10
12,412,4/8,5/8,6/7,7/6,8/5,9/4,,10/4,11/2,12/2,,12/31,411,1/29,2/27
13,411,3/29,4/27,5/27,6/25,7/25,8/24,,9/23,10/23,11/21,,12/20,410,1/19,2/17,3/18
14,410,4/17,5/16,6/15,7/14,8/13,9/12,,10/12,11/10,12/10,409,1/8,,2/7,3/7
15,409,4/5,5/5,6/3,7/3,8/1,8/31,,9/30,10/29,11/28,,12/28,408,1/27,2/25

16,408,3/26,4/24,5/24,6/22,7/22,8/20,9/19,10/18,11/17,12/17,407,1/15,,2/14,3/16
17,407,4/14,5/14,6/12,7/11,8/10,9/8,,10/8,11/6,12/6,406,1/4,,2/3,3/5
18,406,4/3,5/3,6/2,7/1,7/30,8/29,,9/27,10/26,11/25,,12/24,405,1/23,2/22,3/22
19,405,4/21,5/21,6/19,7/19,8/17,9/16,,10/15,11/13,12/13,404,1/11,,2/10,3/12

