YEAR,B.C.,NIS,AIA,SIM,DUZ,ABU,ULU,UII,TAS,ARA,KIS,Y1,TEB,Y2,SHA,ADD,AII
1,404,4/10,5/10,6/9,7/8,8/7,9/5,,10/5,11/3,12/2,403,1/1,,1/30,3/1
2,403,3/30,4/29,5/29,6/27,7/27,8/26,,9/24,10/24,11/22,,12/22,402,1/20,2/18,3/20
3,402,4/18,5/18,6/16,7/16,8/15,9/13,,10/13,11/12,12/11,401,1/10,,2/8,3/8
4,401,4/7,5/6,6/5,7/4,8/3,9/1,,10/1,10/31,11/30,,12/29,400,1/28,2/26
5,400,3/27,4/26,5/25,6/23,7/23,8/21,,9/20,10/20,11/19,,12/19,399,1/17,2/16,3/17

6,399,4/15,5/15,6/13,7/12,8/11,9/9,,10/9,11/8,12/8,398,1/6,,2/5,3/7
7,398,4/5,5/4,6/3,7/2,7/31,8/30,,9/28,10/28,11/27,,12/26,397,1/25,2/24,3/24
8,397,4/23,5/22,6/21,7/20,8/18,9/17,,10/17,11/15,12/15,396,1/13,,2/12,3/13
9,396,4/12,5/12,6/10,7/10,8/8,9/7,,10/6,11/5,12/4,395,1/3,,2/1,3/2
10,395,4/1,5/1,5/30,6/29,7/29,8/27,,9/26,10/25,11/24,,12/23,394,1/21,2/20,3/21

11,394,4/20,5/19,6/18,7/18,8/17,9/15,,10/15,11/14,12/13,393,1/11,,2/9,3/10
12,393,4/8,5/7,6/6,7/6,8/5,9/4,,10/3,11/2,12/1,,12/31,392,1/29,2/27
13,392,3/29,4/27,5/26,6/25,7/25,8/23,,9/22,10/22,11/21,,12/20,391,1/19,2/17,3/18
14,391,4/17,5/16,6/14,7/14,8/13,9/11,,10/11,11/10,12/9,390,1/8,,2/6,3/8
15,390,4/6,5/6,6/4,7/4,8/2,9/1,,9/30,10/30,11/28,,12/28,389,1/27,2/25

16,389,3/26,4/24,5/24,6/22,7/22,8/20,9/19,10/18,11/16,12/16,388,1/15,,2/13,3/15
17,388,4/14,5/13,6/12,7/11,8/10,9/8,,10/7,11/6,12/5,387,1/4,,2/2,3/4
18,387,4/3,5/2,6/1,7/1,7/30,8/29,,9/27,10/26,11/25,,12/24,386,1/23,2/21,3/23
19,386,4/21,5/21,6/20,7/20,8/18,9/17,,10/16,11/14,12/14,385,1/12,,2/11,3/11
20,385,4/10,5/9,6/8,7/8,8/6,9/5,,10/4,11/3,12/3,384,1/1,,1/30,3/1,3/30

21,384,4/29,5/28,6/27,7/26,8/25,9/24,,10/23,11/22,12/21,383,1/20,,2/19,3/20
22,383,4/18,5/17,6/16,7/15,8/14,9/13,,10/12,11/11,12/11,382,1/10,,2/8,3/10
23,382,4/8,5/7,6/5,7/5,8/3,9/2,,10/1,10/31,11/30,,12/30,381,1/28,2/27
24,381,3/27,4/26,5/25,6/23,7/23,8/21,,9/20,10/19,11/18,,12/18,380,1/17,2/15,3/17
25,380,4/15,5/15,6/13,7/12,8/11,9/9,,10/9,11/7,12/7,379,1/6,,2/4,3/6

26,379,4/5,5/4,6/3,7/2,7/31,8/30,,9/29,10/28,11/27,,12/26,378,1/24,2/23,3/25
27,378,4/23,5/23,6/21,7/21,8/19,9/18,,10/18,11/16,12/16,377,1/14,,2/12,3/13
28,377,4/11,5/11,6/9,7/9,8/8,9/7,,10/6,11/5,12/4,376,1/2,,2/1,3/2
29,376,4/1,4/30,5/29,6/28,7/28,8/27,,9/26,10/25,11/24,,12/23,375,1/21,2/20,3/21
30,375,4/19,5/19,6/17,7/17,8/16,9/15,,10/15,11/13,12/13,374,1/11,,2/9,3/11

31,374,4/9,5/8,6/7,7/6,8/5,9/4,,10/4,11/2,12/2,,12/31,373,1/30,2/28
32,373,3/29,4/27,5/26,6/25,7/24,8/23,,9/22,10/21,11/20,,12/20,372,1/18,2/17,3/18
33,372,4/17,5/16,6/14,7/14,8/12,9/11,,10/11,11/9,12/9,371,1/7,,2/6,3/8
34,371,4/6,5/6,6/4,7/4,8/2,9/1,,9/30,10/29,11/28,,12/27,370,1/26,2/25
35,370,3/26,4/25,5/25,6/23,7/23,8/21,9/20,10/19,11/17,12/17,369,1/15,,2/14,3/14

36,369,4/13,5/13,6/11,7/11,8/9,9/8,,10/7,11/6,12/5,368,1/4,,2/2,3/4
37,368,4/2,5/2,5/31,6/30,7/30,8/29,,9/27,10/26,11/25,,12/24,367,1/23,2/21,3/22
38,367,4/21,5/21,6/19,7/19,8/18,9/16,,10/16,11/14,12/14,366,1/12,,2/11,3/12
39,366,4/10,5/10,6/8,7/8,8/7,9/5,,10/5,11/4,12/3,365,1/2,,1/31,3/1
40,365,3/30,4/28,5/28,6/26,7/26,8/24,,9/23,10/23,11/21,,12/21,364,1/20,2/18,3/20

41,364,4/18,5/17,6/16,7/15,8/13,9/12,,10/12,11/10,12/10,363,1/9,,2/8,3/9
42,363,4/8,5/7,6/5,7/5,8/3,9/1,,10/1,10/31,11/29,,12/29,362,1/28,2/27
43,362,3/28,4/27,5/26,6/24,7/24,8/22,,9/21,10/20,11/19,,12/18,361,1/17,2/16,3/16
44,361,4/15,5/14,6/13,7/12,8/11,9/9,,10/9,11/7,12/7,360,1/5,,2/4,3/5
45,360,4/4,5/3,6/2,7/2,7/31,8/30,,9/28,10/28,11/26,,12/26,359,1/24,2/23,3/24

46,359,4/23,5/22,6/21,7/20,8/19,9/18,,10/18,11/16,12/16,358,1/14,,2/12,3/13
