Year,Month,Day,Type,Mag
-510,11,28,Partial,0.585
-508,10,7,Partial,0.222
-507,4,3,Total,1.566
-506,3,23,Partial,0.701
-506,9,16,Partial,0.922
-504,1,31,Partial,0.522
-504,7,27,Partial,0.397
-503,7,16,Total,1.77
-502,1,9,Partial,0.657
-501,11,19,Partial,0.192
-500,11,7,Total,1.466
-499,5,4,Total,1.139
-499,10,27,Partial,0.915
-497,3,14,Partial,0.184
-497,9,7,Partial,0.355
-496,3,2,Total,1.59
-495,2,20,Partial,0.765
-495,8,16,Partial,0.648
-494,12,31,Partial,0.522
-492,6,14,Total,1.669
-490,4,25,Partial,0.09
-490,10,18,Partial,0.205
-489,4,14,Total,1.429
-489,10,8,Total,1.527
-488,4,3,Partial,0.832
-486,2,11,Partial,0.48
-485,1,31,Total,1.781
-484,7,15,Partial,0.652
-483,11,30,Partial,0.183
-482,11,19,Total,1.46
-481,5,16,Total,1.274
-479,3,24,Partial,0.073
-478,3,13,Total,1.502
-478,9,7,Total,1.554
-477,8,27,Partial,0.736
-475,12,31,Total,1.739
-474,6,26,Total,1.805
-474,12,20,Partial,0.604
-473,6,15,Partial,0.466
-471,10,18,Total,1.504
-470,10,8,Partial,0.992
-468,8,17,Partial,0.16
-467,2,11,Total,1.733
-467,8,6,Total,1.514
-466,1,31,Partial,0.714
-466,7,26,Partial,0.777
-465,12,11,Partial,0.176
-464,6,5,Partial,0.944
-464,11,29,Total,1.458
-463,11,18,Partial,0.931
-461,9,29,Partial,0.25
-460,9,17,Total,1.492
-459,3,13,Partial,0.931
-459,9,7,Partial,0.813
-457,1,22,Partial,0.47
-457,7,17,Partial,0.381
-456,1,11,Total,1.716
-456,12,30,Partial,0.623
-455,6,26,Partial,0.595
-454,11,9,Partial,0.195
-453,5,6,Total,1.131
-452,4,24,Total,1.124
-452,10,18,Total,1.01
-450,3,4,Partial,0.357
-450,8,28,Partial,0.061
-449,8,17,Total,1.405
-448,2,12,Partial,0.759
-447,12,21,Partial,0.164
-446,6,17,Partial,0.806
-446,12,10,Total,1.456
-445,6,6,Total,1.553
-445,11,30,Partial,0.935
